Scenario,spinup base (if different),base run output path,spinup (CRT) dates,run dates,spinup output path,run output path,status
ESM4_ssp245_D201,,/archive/oar.gfdl.bgrp-account/CMIP6/ESM4/ScenarioMIP/ESM4_ssp245_D201/gfdl.ncrc4-intel16-prod-openmp,2041-2060,2061-2100,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202205/ESM4_ssp245_D201_CRT_spinup/gfdl.ncrc4-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202207/ESM4_ssp245_D201_CRT_2061_2100/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_ssp245_D151,,/archive/oar.gfdl.bgrp-account/CMIP6/ESM4/ScenarioMIP/ESM4_ssp245_D151/gfdl.ncrc4-intel16-prod-openmp,2041-2060,2061-2100,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202205/ESM4_ssp245_D151_CRT_spinup/gfdl.ncrc4-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202207/ESM4_ssp245_D151_CRT_2061_2100/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_ssp245_D1,,/archive/oar.gfdl.bgrp-account/CMIP6/ESM4/ScenarioMIP/ESM4_ssp245_D1/gfdl.ncrc4-intel16-prod-openmp,2041-2060,2061-2100,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202205/ESM4_ssp245_D1_CRT_spinup/gfdl.ncrc4-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202207/ESM4_ssp245_D1_CRT_2061_2100/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_ssp126_D1,,/archive/oar.gfdl.bgrp-account/CMIP6/ESM4/ScenarioMIP/ESM4_ssp126_D1/gfdl.ncrc4-intel16-prod-openmp,2041-2060,2061-2100,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202205/ESM4_ssp126_D1_CRT_spinup/gfdl.ncrc4-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202207/ESM4_ssp126_D1_CRT_2061_2100/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_ssp119_D1,,/archive/oar.gfdl.bgrp-account/CMIP6/ESM4/ScenarioMIP/ESM4_ssp119_D1/gfdl.ncrc3-intel16-prod-openmp,2041-2060,2061-2100,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202205/ESM4_ssp119_D1_CRT_spinup/gfdl.ncrc3-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202207/ESM4_ssp119_D1_CRT_2061_2100/gfdl.ncrc3-intel18-prod-openmp,complete
ESM4_ssp534-over_D1,,/archive/oar.gfdl.bgrp-account/CMIP6/ESM4/ScenarioMIP/ESM4_ssp534-over_D1/gfdl.ncrc4-intel16-prod-openmp,2041-2060,2061-2100,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202205/ESM4_ssp534-over_D1_CRT_spinup/gfdl.ncrc4-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202207/ESM4_ssp534-over_D1_CRT_2061_2100/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_piControl_D_0226_0265,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_piControl_D/gfdl.ncrc4-intel16-prod-openmp,0206-0225,0226-0265,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202205/ESM4_piControl_D_CRT_0206_spinup/gfdl.ncrc4-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202207/ESM4_piControl_D_CRT_0226_0265/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_piControl_D_0312_0351,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_piControl_D/gfdl.ncrc4-intel16-prod-openmp,0292-0311,0312-0351,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202205/ESM4_piControl_D_CRT_0292_spinup/gfdl.ncrc4-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202207/ESM4_piControl_D_CRT_0312_0351/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_1pctCO2_D1_start,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_piControl_D/gfdl.ncrc4-intel16-prod-openmp,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_1pctCO2_D1/gfdl.ncrc4-intel16-prod-openmp,0081-0100,0001-0040,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202205/ESM4_1pctCO2_D1_CRT_spinup/gfdl.ncrc4-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202207/ESM4_1pctCO2_D1_CRT_0001_0040/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_1pctCO2_D1_peak,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_1pctCO2_D1/gfdl.ncrc4-intel16-prod-openmp,0101-0120,0121-0140,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202205/ESM4_1pctCO2_D1_CRT_peak_spinup/gfdl.ncrc4-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202207/ESM4_1pctCO2_D1_CRT_0121_0140/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_1pctCO2-cdr_D1_peak,,/archive/oar.gfdl.bgrp-account/CMIP6/ESM4/CDRMIP/ESM4_1pctCO2-cdr_D1/gfdl.ncrc4-intel16-prod-openmp,0121-0140,0141-0160,,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202207/ESM4_1pctCO2-cdr_D1_CRT_0141_0160/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_1pctCO2-cdr_D1_end,,/archive/oar.gfdl.bgrp-account/CMIP6/ESM4/CDRMIP/ESM4_1pctCO2-cdr_D1/gfdl.ncrc4-intel16-prod-openmp,0221-0240,0241-0280,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202205/ESM4_1pctCO2-cdr_D1_CRT_end_spinup/gfdl.ncrc4-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202207/ESM4_1pctCO2-cdr_D1_CRT_0241_0280/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_historical_D1,,/archive/oar.gfdl.cmip6/ESM4/DECK/ESM4_historical_D1/gfdl.ncrc4-intel16-prod-openmp,1955-1974,1975-2014,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202208/ESM4_historical_D1_CRT_spinup/gfdl.ncrc4-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202208/ESM4_historical_D1_CRT_1975_2014/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_ssp585_D1,,/archive/oar.gfdl.bgrp-account/CMIP6/ESM4/ScenarioMIP/ESM4_ssp585_D1/gfdl.ncrc4-intel16-prod-openmp,2041-2060,2061-2100,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202205/ESM4_ssp585_D1_CRT_spinup/gfdl.ncrc4-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202208/ESM4_ssp585_D1_CRT_2061_2100/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_ssp370_D1,,/archive/oar.gfdl.bgrp-account/CMIP6/ESM4/ScenarioMIP/ESM4_ssp370_D1/gfdl.ncrc4-intel16-prod-openmp,2041-2060,2061-2100,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202205/ESM4_ssp370_D1_CRT_spinup/gfdl.ncrc4-intel18-prod-openmp,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202208/ESM4_ssp370_D1_CRT_2061_2100/gfdl.ncrc4-intel18-prod-openmp,complete
ESM4_ssp245_D1_histCont,,/archive/oar.gfdl.bgrp-account/CMIP6/ESM4/ScenarioMIP/ESM4_ssp245_D1/gfdl.ncrc4-intel16-prod-openmp,,2015-2024,,/archive/Elise.Olson/fre/xanadu_esm4_20190304/ESM4/202301/ESM4_ssp245_D1_CRT_2015_2024/gfdl.ncrc4-intel18-prod-openmp,complete